馬公市,Má-king-tshī
湖西鄉,Ôo-sai-hiong
白沙鄉,Pe̍h-sua-hiong
西嶼鄉,Sai-sū-hiong
望安鄉,Bāng-uann-hiong
七美鄉,Tshit-bí-hiong
中正區,Tiong-tsìng-khu
七堵區,Tshit-tóo-khu
暖暖區,Luán-luán-khu
仁愛區,Jîn-ài-khu
中山區,Tiong-san-khu
安樂區,An-lo̍k-khu
信義區,Sìn-gī-khu
東區,Tang-khu
北區,Pak-khu
香山區,Hiong-san-khu
中區,Tiong-khu
東區,Tang-khu
南區,Lâm-khu
西區,Sai-khu
北區,Pak-khu
西屯區,Sai-tūn-khu
南屯區,Lâm-tūn-khu
北屯區,Pak-tūn-khu
豐原區,Hong-guân-khu
東勢區,Tang-sì-khu
大甲區,Tāi-kah-khu
清水區,Tshing-tsuí-khu
沙鹿區,Sua-lak-khu
梧棲區,Gôo-tshe-khu
后里區,Āu-lí-khu
神岡區,Sîn-kóng-khu
潭子區,Thâm-tsú-khu
大雅區,Tāi-ngé-khu
新社區,Sin-siā-khu
石岡區,Tsio̍h-kng-khu
外埔區,Guā-poo-khu
大安區,Tāi-an-khu
烏日區,Oo-ji̍t-khu
大肚區,Tuā-tōo-khu
龍井區,Liông-tsínn-khu
霧峰區,Bū-hong-khu
太平區,Thài-pîng-khu
大里區,Tāi-lí-khu
和平區,Hô-pîng-khu
東區,Tang-khu
西區,Sai-khu
東區,Tang-khu
南區,Lâm-khu
北區,Pak-khu
中西區,Tiong-se-khu
安南區,An-lâm-khu
安平區,An-pîng-khu
新營區,Sin-iânn-khu
鹽水區,Kiâm-tsuí-khu
白河區,Pe̍h-hô-khu
柳營區,Liú-iânn-khu
後壁區,Āu-piah-khu
東山區,Tong-san-khu
麻豆區,Muâ-tāu-khu
下營區,Ē-iânn-khu
六甲區,La̍k-kah-khu
官田區,Kuann-tiān-khu
大內區,Tuā-lāi-khu
佳里區,Ka-lí-khu
學甲區,Ha̍k-kah-khu
西港區,Sai-káng-khu
七股區,Tshit-kóo-khu
將軍區,Tsiong-kun-khu
北門區,Pak-mn̂g-khu
新化區,Sin-huà-khu
善化區,Siān-huà-khu
新市區,Sin-tshī-khu
安定區,An-tīng-khu
山上區,San-siōng-khu
玉井區,Gio̍k-tsénn-khu
楠西區,Lâm-se-khu
南化區,Lâm-huà-khu
左鎮區,Tsó-tìn-khu
仁德區,Jîn-tik-khu
歸仁區,Kui-jîn-khu
關廟區,Kuan-biō-khu
龍崎區,Liông-kiā-khu
永康區,Íng-khong-khu
金城鎮,Kim-siânn-tìn
金沙鎮,Kim-sua-tìn
金湖鎮,Kim-ôo-tìn
金寧鄉,Kim-lîng-hiong
烈嶼鄉,Lia̍t-sū-hiong
烏坵鄉,Oo-khiu-hiong
南竿鄉,Lâm-kan-hiong
北竿鄉,Pak-kan-hiong
莒光鄉,Kí-kong-hiong
東引鄉,Tang-ín-hiong
東沙,Tang-sua
南沙,Lâm-sua
釣魚台,Tiò-hî-tâi
